#Feature	Chrom	Start	End	Counts
cds-YP_009041223.1	NC_005880.2	485	785	74
cds-YP_009041224.1	NC_005880.2	800	986	85
cds-YP_009041225.1	NC_005880.2	1092	1380	79
cds-YP_009041226.1	NC_005880.2	1379	1706	104
cds-YP_009041227.1	NC_005880.2	1721	2015	107
cds-YP_009041228.1	NC_005880.2	2018	2276	111
cds-YP_009041229.1	NC_005880.2	2353	2593	108
cds-YP_009041230.1	NC_005880.2	2603	2951	140
cds-YP_009041231.1	NC_005880.2	3161	3500	741
cds-YP_009041232.1	NC_005880.2	3810	4119	68
cds-YP_009041233.1	NC_005880.2	4324	4612	97
cds-YP_009041234.1	NC_005880.2	4661	4853	22
cds-YP_009041235.1	NC_005880.2	5169	5658	2322
cds-YP_009041236.1	NC_005880.2	5825	5984	18
cds-YP_009041237.1	NC_005880.2	6053	6185	48
cds-YP_009041238.1	NC_005880.2	6352	6676	442
cds-YP_009041239.1	NC_005880.2	6775	7012	142
cds-YP_009041240.1	NC_005880.2	7091	7562	417
cds-YP_009041241.1	NC_005880.2	7620	7794	243
cds-YP_009041242.1	NC_005880.2	7793	8063	233
cds-YP_009041243.1	NC_005880.2	8147	8369	246
cds-YP_009041244.1	NC_005880.2	8665	8902	3509
cds-YP_009041245.1	NC_005880.2	8901	9075	2673
cds-YP_009041246.1	NC_005880.2	9081	9336	2181
cds-YP_009041247.1	NC_005880.2	9526	10012	1721
cds-YP_009041248.1	NC_005880.2	10004	10436	2191
cds-YP_009041249.1	NC_005880.2	10449	10992	1920
cds-YP_009041250.1	NC_005880.2	11003	11492	3140
cds-YP_009041251.1	NC_005880.2	11504	11903	1651
cds-YP_009041252.1	NC_005880.2	11899	12607	2997
cds-YP_009041253.1	NC_005880.2	12706	13261	4214
cds-YP_009041254.1	NC_005880.2	13276	13594	1794
cds-YP_009041255.1	NC_005880.2	14579	15128	3214
cds-YP_009041256.1	NC_005880.2	15131	15350	1403
cds-YP_009041257.1	NC_005880.2	15350	15545	1824
cds-YP_009041258.1	NC_005880.2	15534	16272	3531
cds-YP_009041259.1	NC_005880.2	16450	16690	1150
cds-YP_009041260.1	NC_005880.2	16691	17081	1499
cds-YP_009041261.1	NC_005880.2	17179	17353	748
cds-YP_009041262.1	NC_005880.2	17393	17876	641
cds-YP_009041263.1	NC_005880.2	17925	18468	12074
cds-YP_009041264.1	NC_005880.2	18467	19001	9519
cds-YP_009041265.1	NC_005880.2	19003	19168	1975
cds-YP_009041266.1	NC_005880.2	19170	19446	2159
cds-YP_009041267.1	NC_005880.2	19445	20291	5937
cds-YP_009041268.1	NC_005880.2	20302	20887	6954
cds-YP_009041269.1	NC_005880.2	21155	21422	2745
cds-YP_009041270.1	NC_005880.2	21575	21902	6064
cds-YP_009041271.1	NC_005880.2	21894	22311	6732
cds-YP_009041272.1	NC_005880.2	22444	22747	16994
cds-YP_009041273.1	NC_005880.2	22746	22935	5257
cds-YP_009041274.1	NC_005880.2	22978	23140	2022
cds-YP_009041275.1	NC_005880.2	23139	25188	11160
cds-YP_009041276.1	NC_005880.2	25265	25529	5074
cds-YP_009041277.1	NC_005880.2	25545	25719	4392
cds-YP_009041278.1	NC_005880.2	25725	26304	6033
cds-YP_009041279.1	NC_005880.2	26296	26923	7297
cds-YP_009041280.1	NC_005880.2	26915	27812	6562
cds-YP_009041281.1	NC_005880.2	27811	28036	664
cds-YP_009041282.1	NC_005880.2	28104	28845	15746
cds-YP_009041283.1	NC_005880.2	28896	29511	12386
cds-YP_009041284.1	NC_005880.2	29526	29952	6183
cds-YP_009041285.1	NC_005880.2	29941	30133	1733
cds-YP_009041286.1	NC_005880.2	30155	30797	6221
cds-YP_009041287.1	NC_005880.2	30786	31017	3208
cds-YP_009041288.1	NC_005880.2	31019	31247	2691
cds-YP_009041289.1	NC_005880.2	31356	32049	5347
cds-YP_009041290.1	NC_005880.2	32235	32871	3637
