#Feature	Chrom	Start	End	Counts
cds-YP_009041223.1	NC_005880.2	485	785	112
cds-YP_009041224.1	NC_005880.2	800	986	100
cds-YP_009041225.1	NC_005880.2	1092	1380	101
cds-YP_009041226.1	NC_005880.2	1379	1706	188
cds-YP_009041227.1	NC_005880.2	1721	2015	150
cds-YP_009041228.1	NC_005880.2	2018	2276	170
cds-YP_009041229.1	NC_005880.2	2353	2593	191
cds-YP_009041230.1	NC_005880.2	2603	2951	238
cds-YP_009041231.1	NC_005880.2	3161	3500	624
cds-YP_009041232.1	NC_005880.2	3810	4119	46
cds-YP_009041233.1	NC_005880.2	4324	4612	92
cds-YP_009041234.1	NC_005880.2	4661	4853	18
cds-YP_009041235.1	NC_005880.2	5169	5658	1652
cds-YP_009041236.1	NC_005880.2	5825	5984	15
cds-YP_009041237.1	NC_005880.2	6053	6185	32
cds-YP_009041238.1	NC_005880.2	6352	6676	327
cds-YP_009041239.1	NC_005880.2	6775	7012	123
cds-YP_009041240.1	NC_005880.2	7091	7562	371
cds-YP_009041241.1	NC_005880.2	7620	7794	167
cds-YP_009041242.1	NC_005880.2	7793	8063	188
cds-YP_009041243.1	NC_005880.2	8147	8369	208
cds-YP_009041244.1	NC_005880.2	8665	8902	2992
cds-YP_009041245.1	NC_005880.2	8901	9075	2426
cds-YP_009041246.1	NC_005880.2	9081	9336	2036
cds-YP_009041247.1	NC_005880.2	9526	10012	1628
cds-YP_009041248.1	NC_005880.2	10004	10436	2485
cds-YP_009041249.1	NC_005880.2	10449	10992	2154
cds-YP_009041250.1	NC_005880.2	11003	11492	3491
cds-YP_009041251.1	NC_005880.2	11504	11903	1843
cds-YP_009041252.1	NC_005880.2	11899	12607	3355
cds-YP_009041253.1	NC_005880.2	12706	13261	1430
cds-YP_009041254.1	NC_005880.2	13276	13594	603
cds-YP_009041255.1	NC_005880.2	14579	15128	3547
cds-YP_009041256.1	NC_005880.2	15131	15350	1774
cds-YP_009041257.1	NC_005880.2	15350	15545	2245
cds-YP_009041258.1	NC_005880.2	15534	16272	4275
cds-YP_009041259.1	NC_005880.2	16450	16690	1350
cds-YP_009041260.1	NC_005880.2	16691	17081	1729
cds-YP_009041261.1	NC_005880.2	17179	17353	180
cds-YP_009041262.1	NC_005880.2	17393	17876	303
cds-YP_009041263.1	NC_005880.2	17925	18468	9481
cds-YP_009041264.1	NC_005880.2	18467	19001	8772
cds-YP_009041265.1	NC_005880.2	19003	19168	2349
cds-YP_009041266.1	NC_005880.2	19170	19446	2986
cds-YP_009041267.1	NC_005880.2	19445	20291	8642
cds-YP_009041268.1	NC_005880.2	20302	20887	10130
cds-YP_009041269.1	NC_005880.2	21155	21422	3800
cds-YP_009041270.1	NC_005880.2	21575	21902	3680
cds-YP_009041271.1	NC_005880.2	21894	22311	4348
cds-YP_009041272.1	NC_005880.2	22444	22747	9840
cds-YP_009041273.1	NC_005880.2	22746	22935	3409
cds-YP_009041274.1	NC_005880.2	22978	23140	2097
cds-YP_009041275.1	NC_005880.2	23139	25188	13167
cds-YP_009041276.1	NC_005880.2	25265	25529	3417
cds-YP_009041277.1	NC_005880.2	25545	25719	3237
cds-YP_009041278.1	NC_005880.2	25725	26304	4834
cds-YP_009041279.1	NC_005880.2	26296	26923	7274
cds-YP_009041280.1	NC_005880.2	26915	27812	6879
cds-YP_009041281.1	NC_005880.2	27811	28036	681
cds-YP_009041282.1	NC_005880.2	28104	28845	12517
cds-YP_009041283.1	NC_005880.2	28896	29511	11099
cds-YP_009041284.1	NC_005880.2	29526	29952	6032
cds-YP_009041285.1	NC_005880.2	29941	30133	1827
cds-YP_009041286.1	NC_005880.2	30155	30797	6021
cds-YP_009041287.1	NC_005880.2	30786	31017	2991
cds-YP_009041288.1	NC_005880.2	31019	31247	2458
cds-YP_009041289.1	NC_005880.2	31356	32049	2622
cds-YP_009041290.1	NC_005880.2	32235	32871	3480
cds-YP_009041291.1	NC_005880.2	32937	33729	17264
cds-YP_009041292.1	NC_005880.2	33728	34037	5147
cds-YP_009041293.1	NC_005880.2;NC_005880.2	34149;35715	34839;36513	3808
cds-YP_009041294.1	NC_005880.2	35049	35550	1580
cds-YP_009041295.1	NC_005880.2	36512	37016	343
cds-YP_009041296.1	NC_005880.2	37100	37286	2596
cds-YP_009041297.1	NC_005880.2	38832	39051	753
cds-YP_009041298.1	NC_005880.2	39528	39738	14
cds-YP_009041299.1	NC_005880.2	39750	40083	11
cds-YP_009041300.1	NC_005880.2	40095	40422	5
cds-YP_009041301.1	NC_005880.2	40454	40721	117
cds-YP_009041302.1	NC_005880.2	40861	41248	481
cds-YP_009041303.1	NC_005880.2	41225	41504	545
cds-YP_009041304.1	NC_005880.2	41500	41911	642
cds-YP_009041305.1	NC_005880.2	41925	43743	2422
cds-YP_009041306.1	NC_005880.2	43735	44557	7426
cds-YP_009041307.1	NC_005880.2	44543	44717	816
cds-YP_009041308.1	NC_005880.2	44713	45193	4240
cds-YP_009041309.1	NC_005880.2	45234	46428	10880
cds-YP_009041310.1	NC_005880.2	46512	46854	108
cds-YP_009041311.1	NC_005880.2	46871	47243	505
cds-YP_009041312.1	NC_005880.2	47246	48938	2395
cds-YP_009041313.1	NC_005880.2	49131	49905	2072
cds-YP_009041314.1	NC_005880.2	49923	50874	3149
cds-YP_009041315.1	NC_005880.2	50989	52381	4152
cds-YP_009041316.1	NC_005880.2	52472	52769	154
cds-YP_009041317.1	NC_005880.2	52781	53690	919
