#Feature	Chrom	Start	End	Counts
cds-YP_009041223.1	NC_005880.2	485	785	14
cds-YP_009041224.1	NC_005880.2	800	986	10
cds-YP_009041225.1	NC_005880.2	1092	1380	20
cds-YP_009041226.1	NC_005880.2	1379	1706	24
cds-YP_009041227.1	NC_005880.2	1721	2015	10
cds-YP_009041228.1	NC_005880.2	2018	2276	9
cds-YP_009041229.1	NC_005880.2	2353	2593	16
cds-YP_009041230.1	NC_005880.2	2603	2951	17
cds-YP_009041231.1	NC_005880.2	3161	3500	228
cds-YP_009041232.1	NC_005880.2	3810	4119	15
cds-YP_009041233.1	NC_005880.2	4324	4612	38
cds-YP_009041234.1	NC_005880.2	4661	4853	10
cds-YP_009041235.1	NC_005880.2	5169	5658	56
cds-YP_009041236.1	NC_005880.2	5825	5984	6
cds-YP_009041237.1	NC_005880.2	6053	6185	13
cds-YP_009041238.1	NC_005880.2	6352	6676	101
cds-YP_009041239.1	NC_005880.2	6775	7012	38
cds-YP_009041240.1	NC_005880.2	7091	7562	89
cds-YP_009041241.1	NC_005880.2	7620	7794	50
cds-YP_009041242.1	NC_005880.2	7793	8063	43
cds-YP_009041243.1	NC_005880.2	8147	8369	45
cds-YP_009041244.1	NC_005880.2	8665	8902	45
cds-YP_009041245.1	NC_005880.2	8901	9075	32
cds-YP_009041246.1	NC_005880.2	9081	9336	34
cds-YP_009041247.1	NC_005880.2	9526	10012	52
cds-YP_009041248.1	NC_005880.2	10004	10436	85
cds-YP_009041249.1	NC_005880.2	10449	10992	99
cds-YP_009041250.1	NC_005880.2	11003	11492	139
cds-YP_009041251.1	NC_005880.2	11504	11903	99
cds-YP_009041252.1	NC_005880.2	11899	12607	172
cds-YP_009041253.1	NC_005880.2	12706	13261	33
cds-YP_009041254.1	NC_005880.2	13276	13594	9
cds-YP_009041255.1	NC_005880.2	14579	15128	139
cds-YP_009041256.1	NC_005880.2	15131	15350	60
cds-YP_009041257.1	NC_005880.2	15350	15545	103
cds-YP_009041258.1	NC_005880.2	15534	16272	210
cds-YP_009041259.1	NC_005880.2	16450	16690	102
cds-YP_009041260.1	NC_005880.2	16691	17081	126
cds-YP_009041261.1	NC_005880.2	17179	17353	3
cds-YP_009041262.1	NC_005880.2	17393	17876	10
cds-YP_009041263.1	NC_005880.2	17925	18468	292
cds-YP_009041264.1	NC_005880.2	18467	19001	312
cds-YP_009041265.1	NC_005880.2	19003	19168	90
cds-YP_009041266.1	NC_005880.2	19170	19446	159
cds-YP_009041267.1	NC_005880.2	19445	20291	456
cds-YP_009041268.1	NC_005880.2	20302	20887	665
cds-YP_009041269.1	NC_005880.2	21155	21422	326
cds-YP_009041270.1	NC_005880.2	21575	21902	86
cds-YP_009041271.1	NC_005880.2	21894	22311	115
cds-YP_009041272.1	NC_005880.2	22444	22747	291
cds-YP_009041273.1	NC_005880.2	22746	22935	121
cds-YP_009041274.1	NC_005880.2	22978	23140	85
cds-YP_009041275.1	NC_005880.2	23139	25188	684
cds-YP_009041276.1	NC_005880.2	25265	25529	79
cds-YP_009041277.1	NC_005880.2	25545	25719	85
cds-YP_009041278.1	NC_005880.2	25725	26304	140
cds-YP_009041279.1	NC_005880.2	26296	26923	255
cds-YP_009041280.1	NC_005880.2	26915	27812	281
cds-YP_009041281.1	NC_005880.2	27811	28036	33
cds-YP_009041282.1	NC_005880.2	28104	28845	399
cds-YP_009041283.1	NC_005880.2	28896	29511	397
cds-YP_009041284.1	NC_005880.2	29526	29952	237
cds-YP_009041285.1	NC_005880.2	29941	30133	71
cds-YP_009041286.1	NC_005880.2	30155	30797	263
cds-YP_009041287.1	NC_005880.2	30786	31017	169
cds-YP_009041288.1	NC_005880.2	31019	31247	126
cds-YP_009041289.1	NC_005880.2	31356	32049	217
cds-YP_009041290.1	NC_005880.2	32235	32871	178
cds-YP_009041291.1	NC_005880.2	32937	33729	569
cds-YP_009041292.1	NC_005880.2	33728	34037	187
cds-YP_009041293.1	NC_005880.2;NC_005880.2	34149;35715	34839;36513	242
cds-YP_009041294.1	NC_005880.2	35049	35550	121
cds-YP_009041295.1	NC_005880.2	36512	37016	15
cds-YP_009041296.1	NC_005880.2	37100	37286	43
cds-YP_009041297.1	NC_005880.2	38832	39051	104
cds-YP_009041298.1	NC_005880.2	39528	39738	0
cds-YP_009041299.1	NC_005880.2	39750	40083	0
cds-YP_009041300.1	NC_005880.2	40095	40422	1
cds-YP_009041301.1	NC_005880.2	40454	40721	4
cds-YP_009041302.1	NC_005880.2	40861	41248	8
cds-YP_009041303.1	NC_005880.2	41225	41504	11
cds-YP_009041304.1	NC_005880.2	41500	41911	5
cds-YP_009041305.1	NC_005880.2	41925	43743	60
cds-YP_009041306.1	NC_005880.2	43735	44557	197
cds-YP_009041307.1	NC_005880.2	44543	44717	17
cds-YP_009041308.1	NC_005880.2	44713	45193	83
cds-YP_009041309.1	NC_005880.2	45234	46428	219
cds-YP_009041310.1	NC_005880.2	46512	46854	4
cds-YP_009041311.1	NC_005880.2	46871	47243	21
cds-YP_009041312.1	NC_005880.2	47246	48938	84
cds-YP_009041313.1	NC_005880.2	49131	49905	39
cds-YP_009041314.1	NC_005880.2	49923	50874	75
cds-YP_009041315.1	NC_005880.2	50989	52381	79
cds-YP_009041316.1	NC_005880.2	52472	52769	8
cds-YP_009041317.1	NC_005880.2	52781	53690	55
cds-YP_009041318.1	NC_005880.2	53703	54582	35
cds-YP_009041319.1	NC_005880.2	54581	55202	22
cds-YP_009041320.1	NC_005880.2	55220	56057	29
cds-YP_009041321.1	NC_005880.2	56058	56274	11
cds-YP_009041322.1	NC_005880.2	56300	58064	75
cds-YP_009041323.1	NC_005880.2	58136	58565	13
cds-YP_009041324.1	NC_005880.2	58661	58802	22
cds-YP_009041325.1	NC_005880.2	58844	59303	220
cds-YP_009041326.1	NC_005880.2	59315	59510	85
cds-YP_009041327.1	NC_005880.2	59591	59903	297
cds-YP_009041328.1	NC_005880.2	60034	60493	43
cds-YP_009041329.1	NC_005880.2	60536	61073	59
cds-YP_009041330.1	NC_005880.2	61128	65184	234
cds-YP_009041331.1	NC_005880.2	65262	67689	639
cds-YP_009041332.1	NC_005880.2	67702	68590	158
cds-YP_009041333.1	NC_005880.2	68589	71136	311
cds-YP_009041334.1	NC_005880.2	71242	72034	168
cds-YP_009041335.1	NC_005880.2	72033	72558	108
cds-YP_009041336.1	NC_005880.2	72557	73262	187
cds-YP_009041337.1	NC_005880.2	73276	74323	231
cds-YP_009041338.1	NC_005880.2	74343	77403	764
cds-YP_009041339.1	NC_005880.2	77513	78035	326
cds-YP_009041340.1	NC_005880.2	78055	81514	1540
cds-YP_009041341.1	NC_005880.2	81562	81721	22
cds-YP_009041342.1	NC_005880.2	81721	83644	238
cds-YP_009041343.1	NC_005880.2	83666	84041	38
cds-YP_009041344.1	NC_005880.2	84047	85424	305
cds-YP_009041345.1	NC_005880.2	85515	87264	493
cds-YP_009041346.1	NC_005880.2	87275	88889	398
cds-YP_009041347.1	NC_005880.2	88881	90324	781
cds-YP_009041348.1	NC_005880.2	90402	91440	438
cds-YP_009041349.1	NC_005880.2	91439	91817	147
cds-YP_009041350.1	NC_005880.2	91816	93736	650
cds-YP_009041351.1	NC_005880.2	93735	94332	200
cds-YP_009041352.1	NC_005880.2	94346	95414	245
cds-YP_009041353.1	NC_005880.2	95480	95819	208
cds-YP_009041354.1	NC_005880.2	95818	96271	478
cds-YP_009041355.1	NC_005880.2	96257	96866	461
cds-YP_009041356.1	NC_005880.2	96882	97275	192
cds-YP_009041357.1	NC_005880.2	97289	99404	652
cds-YP_009041358.1	NC_005880.2	99417	100467	202
cds-YP_009041359.1	NC_005880.2	100484	100814	79
cds-YP_009041360.1	NC_005880.2	100797	101118	77
cds-YP_009041361.1	NC_005880.2	101324	101921	70
cds-YP_009041362.1	NC_005880.2	101930	102236	48
cds-YP_009041363.1	NC_005880.2;NC_005880.2;NC_005880.2	102311;103979;106420	103181;105338;107410	1151
cds-YP_009041364.1	NC_005880.2	103391	103862	271
cds-YP_009041365.1	NC_005880.2	105506	106316	207
cds-YP_009041366.1	NC_005880.2	107478	107721	310
cds-YP_009041367.1	NC_005880.2	107737	108220	414
cds-YP_009041368.1	NC_005880.2	108306	109578	1595
cds-YP_009041369.1	NC_005880.2	109637	110894	596
cds-YP_009041370.1	NC_005880.2	110897	111251	111
cds-YP_009041371.1	NC_005880.2	111237	111900	167
cds-YP_009041372.1	NC_005880.2	112027	112660	27
cds-YP_009041373.1	NC_005880.2	112682	113195	19
cds-YP_009041374.1	NC_005880.2	113209	113437	8
cds-YP_009041375.1	NC_005880.2	113532	113793	186
cds-YP_009041376.1	NC_005880.2	113796	114552	347
cds-YP_009041377.1	NC_005880.2	114544	115795	745
cds-YP_009041378.1	NC_005880.2	115808	116177	182
cds-YP_009041379.1	NC_005880.2	116163	116475	202
cds-YP_009041380.1	NC_005880.2	116538	117075	107
cds-YP_009041381.1	NC_005880.2	117067	117835	206
cds-YP_009041382.1	NC_005880.2	117812	118259	130
cds-YP_009041383.1	NC_005880.2	118258	119122	248
cds-YP_009041384.1	NC_005880.2	119493	120225	99
cds-YP_009041385.1	NC_005880.2	120242	120701	85
cds-YP_009041386.1	NC_005880.2	120765	121209	407
cds-YP_009041387.1	NC_005880.2	121225	121930	501
cds-YP_009041388.1	NC_005880.2	121991	122390	58
cds-YP_009041389.1	NC_005880.2	122536	122779	120
cds-YP_009041390.1	NC_005880.2	122783	123341	181
cds-YP_009041391.1	NC_005880.2	123376	123553	218
cds-YP_009041392.1	NC_005880.2	123542	124076	418
cds-YP_009041393.1	NC_005880.2	124090	124339	173
cds-YP_009041394.1	NC_005880.2	124350	124527	70
cds-YP_009041395.1	NC_005880.2	124519	124816	101
cds-YP_009041396.1	NC_005880.2	124863	125046	135
cds-YP_009041397.1	NC_005880.2	125058	125427	305
cds-YP_009041398.1	NC_005880.2	125439	125787	350
cds-YP_009041399.1	NC_005880.2	125792	126065	164
cds-YP_009041400.1	NC_005880.2	126134	126440	213
cds-YP_009041401.1	NC_005880.2	126454	126805	359
cds-YP_009041402.1	NC_005880.2	126804	127407	457
cds-YP_009041403.1	NC_005880.2	127420	127600	105
cds-YP_009041404.1	NC_005880.2	127826	128228	359
cds-YP_009041405.1	NC_005880.2	128229	128523	469
cds-YP_009041406.1	NC_005880.2	128539	128827	372
cds-YP_009041407.1	NC_005880.2	128837	128954	163
cds-YP_009041408.1	NC_005880.2	128943	129207	296
cds-YP_009041409.1	NC_005880.2	129283	129589	127
