#Feature	Chrom	Start	End	Counts
UAKGERNU_CDS_0001	NC_005880.2	84	180	16
UAKGERNU_CDS_0002	NC_005880.2	273	381	5
UAKGERNU_CDS_0003	NC_005880.2	485	785	64
UAKGERNU_CDS_0004	NC_005880.2	800	986	59
UAKGERNU_CDS_0005	NC_005880.2	1092	1380	55
UAKGERNU_CDS_0006	NC_005880.2	1379	1706	91
UAKGERNU_CDS_0007	NC_005880.2	1721	2015	68
UAKGERNU_CDS_0008	NC_005880.2	2018	2276	63
UAKGERNU_CDS_0009	NC_005880.2	2353	2593	84
UAKGERNU_CDS_0010	NC_005880.2	2603	2951	110
UAKGERNU_CDS_0011	NC_005880.2	3161	3500	291
UAKGERNU_CDS_0012	NC_005880.2	3478	3637	36
UAKGERNU_CDS_0013	NC_005880.2	3650	3764	7
UAKGERNU_CDS_0014	NC_005880.2	3810	4119	62
UAKGERNU_CDS_0015	NC_005880.2	4137	4272	17
UAKGERNU_CDS_0016	NC_005880.2	4324	4612	74
UAKGERNU_CDS_0017	NC_005880.2	4661	4853	9
UAKGERNU_CDS_0018	NC_005880.2	4839	4935	11
UAKGERNU_CDS_0019	NC_005880.2	4961	5102	17
UAKGERNU_CDS_0020	NC_005880.2	5169	5658	1135
UAKGERNU_CDS_0021	NC_005880.2	5816	5984	21
UAKGERNU_CDS_0022	NC_005880.2	6053	6185	46
UAKGERNU_CDS_0023	NC_005880.2	6352	6676	351
UAKGERNU_CDS_0024	NC_005880.2	6775	7012	176
UAKGERNU_CDS_0025	NC_005880.2	7091	7562	436
UAKGERNU_CDS_0026	NC_005880.2	7620	7794	253
UAKGERNU_CDS_0027	NC_005880.2	7793	8063	198
UAKGERNU_CDS_0028	NC_005880.2	8147	8369	216
UAKGERNU_CDS_0029	NC_005880.2	8442	8544	72
UAKGERNU_CDS_0030	NC_005880.2	8559	8682	458
UAKGERNU_CDS_0031	NC_005880.2	8665	8902	3274
UAKGERNU_CDS_0032	NC_005880.2	8901	9075	2550
UAKGERNU_CDS_0033	NC_005880.2	9081	9336	2143
UAKGERNU_CDS_0034	NC_005880.2	9338	9530	1219
UAKGERNU_CDS_0035	NC_005880.2	9526	10012	1591
UAKGERNU_CDS_0036	NC_005880.2	10004	10436	1838
UAKGERNU_CDS_0037	NC_005880.2	10449	10992	1759
UAKGERNU_CDS_0038	NC_005880.2	11003	11492	2911
UAKGERNU_CDS_0039	NC_005880.2	11504	11903	1325
UAKGERNU_CDS_0040	NC_005880.2	11899	12607	2450
UAKGERNU_CDS_0041	NC_005880.2	12706	13261	9230
UAKGERNU_CDS_0042	NC_005880.2	13276	13594	4084
UAKGERNU_CDS_0043	NC_005880.2	13662	13776	36189
UAKGERNU_CDS_0044	NC_005880.2	13784	13961	32713
UAKGERNU_CDS_0045	NC_005880.2	13957	14086	22750
UAKGERNU_CDS_0046	NC_005880.2	14163	14364	21678
UAKGERNU_CDS_0047	NC_005880.2	14363	14465	31782
UAKGERNU_CDS_0048	NC_005880.2	14579	15128	2403
UAKGERNU_CDS_0049	NC_005880.2	15131	15350	1127
UAKGERNU_CDS_0050	NC_005880.2	15350	15545	1621
UAKGERNU_CDS_0051	NC_005880.2	15534	16272	2691
UAKGERNU_CDS_0052	NC_005880.2	16334	16439	424
UAKGERNU_CDS_0053	NC_005880.2	16450	16690	737
UAKGERNU_CDS_0054	NC_005880.2	16691	17081	1065
UAKGERNU_CDS_0055	NC_005880.2	17179	17353	4590
UAKGERNU_CDS_0056	NC_005880.2	17393	17876	2605
UAKGERNU_CDS_0057	NC_005880.2	17925	18468	8784
UAKGERNU_CDS_0058	NC_005880.2	18467	19001	7772
UAKGERNU_CDS_0059	NC_005880.2	19003	19168	1494
UAKGERNU_CDS_0060	NC_005880.2	19170	19446	1906
UAKGERNU_CDS_0061	NC_005880.2	19445	20291	4611
UAKGERNU_CDS_0062	NC_005880.2	20302	21187	6821
UAKGERNU_CDS_0063	NC_005880.2	21155	21422	2314
UAKGERNU_CDS_0064	NC_005880.2	21437	21545	32
UAKGERNU_CDS_0065	NC_005880.2	21575	21902	4844
UAKGERNU_CDS_0066	NC_005880.2	21894	22311	5588
UAKGERNU_CDS_0067	NC_005880.2	22444	22747	11809
UAKGERNU_CDS_0068	NC_005880.2	22746	22935	3426
UAKGERNU_CDS_0069	NC_005880.2	22978	23140	1463
UAKGERNU_CDS_0070	NC_005880.2	23139	25188	7769
UAKGERNU_CDS_0071	NC_005880.2	25265	25529	5784
UAKGERNU_CDS_0072	NC_005880.2	25545	25719	5560
UAKGERNU_CDS_0073	NC_005880.2	25725	26304	7785
UAKGERNU_CDS_0074	NC_005880.2	26296	26923	6277
UAKGERNU_CDS_0075	NC_005880.2	26915	27812	5479
UAKGERNU_CDS_0076	NC_005880.2	27811	28036	512
