#Feature	Chrom	Start	End	Counts
UAKGERNU_CDS_0001	NC_005880.2	84	180	13
UAKGERNU_CDS_0002	NC_005880.2	273	381	4
UAKGERNU_CDS_0003	NC_005880.2	485	785	74
UAKGERNU_CDS_0004	NC_005880.2	800	986	85
UAKGERNU_CDS_0005	NC_005880.2	1092	1380	79
UAKGERNU_CDS_0006	NC_005880.2	1379	1706	104
UAKGERNU_CDS_0007	NC_005880.2	1721	2015	107
UAKGERNU_CDS_0008	NC_005880.2	2018	2276	111
UAKGERNU_CDS_0009	NC_005880.2	2353	2593	108
UAKGERNU_CDS_0010	NC_005880.2	2603	2951	140
UAKGERNU_CDS_0011	NC_005880.2	3161	3500	741
UAKGERNU_CDS_0012	NC_005880.2	3478	3637	94
UAKGERNU_CDS_0013	NC_005880.2	3650	3764	1
UAKGERNU_CDS_0014	NC_005880.2	3810	4119	68
UAKGERNU_CDS_0015	NC_005880.2	4137	4272	21
UAKGERNU_CDS_0016	NC_005880.2	4324	4612	97
UAKGERNU_CDS_0017	NC_005880.2	4661	4853	22
UAKGERNU_CDS_0018	NC_005880.2	4839	4935	9
UAKGERNU_CDS_0019	NC_005880.2	4961	5102	34
UAKGERNU_CDS_0020	NC_005880.2	5169	5658	2322
UAKGERNU_CDS_0021	NC_005880.2	5816	5984	18
UAKGERNU_CDS_0022	NC_005880.2	6053	6185	48
UAKGERNU_CDS_0023	NC_005880.2	6352	6676	442
UAKGERNU_CDS_0024	NC_005880.2	6775	7012	142
UAKGERNU_CDS_0025	NC_005880.2	7091	7562	417
UAKGERNU_CDS_0026	NC_005880.2	7620	7794	243
UAKGERNU_CDS_0027	NC_005880.2	7793	8063	233
UAKGERNU_CDS_0028	NC_005880.2	8147	8369	246
UAKGERNU_CDS_0029	NC_005880.2	8442	8544	83
UAKGERNU_CDS_0030	NC_005880.2	8559	8682	550
UAKGERNU_CDS_0031	NC_005880.2	8665	8902	3509
UAKGERNU_CDS_0032	NC_005880.2	8901	9075	2673
UAKGERNU_CDS_0033	NC_005880.2	9081	9336	2181
UAKGERNU_CDS_0034	NC_005880.2	9338	9530	1192
UAKGERNU_CDS_0035	NC_005880.2	9526	10012	1721
UAKGERNU_CDS_0036	NC_005880.2	10004	10436	2191
UAKGERNU_CDS_0037	NC_005880.2	10449	10992	1920
UAKGERNU_CDS_0038	NC_005880.2	11003	11492	3140
UAKGERNU_CDS_0039	NC_005880.2	11504	11903	1651
UAKGERNU_CDS_0040	NC_005880.2	11899	12607	2997
