#Feature	Chrom	Start	End	Counts
UAKGERNU_CDS_0001	NC_005880.2	84	180	6
UAKGERNU_CDS_0002	NC_005880.2	273	381	9
UAKGERNU_CDS_0003	NC_005880.2	485	785	60
UAKGERNU_CDS_0004	NC_005880.2	800	986	58
UAKGERNU_CDS_0005	NC_005880.2	1092	1380	52
UAKGERNU_CDS_0006	NC_005880.2	1379	1706	73
UAKGERNU_CDS_0007	NC_005880.2	1721	2015	66
UAKGERNU_CDS_0008	NC_005880.2	2018	2276	67
UAKGERNU_CDS_0009	NC_005880.2	2353	2593	82
UAKGERNU_CDS_0010	NC_005880.2	2603	2951	111
UAKGERNU_CDS_0011	NC_005880.2	3161	3500	240
UAKGERNU_CDS_0012	NC_005880.2	3478	3637	35
UAKGERNU_CDS_0013	NC_005880.2	3650	3764	5
UAKGERNU_CDS_0014	NC_005880.2	3810	4119	33
UAKGERNU_CDS_0015	NC_005880.2	4137	4272	9
UAKGERNU_CDS_0016	NC_005880.2	4324	4612	39
UAKGERNU_CDS_0017	NC_005880.2	4661	4853	3
UAKGERNU_CDS_0018	NC_005880.2	4839	4935	4
UAKGERNU_CDS_0019	NC_005880.2	4961	5102	12
UAKGERNU_CDS_0020	NC_005880.2	5169	5658	986
UAKGERNU_CDS_0021	NC_005880.2	5816	5984	11
UAKGERNU_CDS_0022	NC_005880.2	6053	6185	23
UAKGERNU_CDS_0023	NC_005880.2	6352	6676	130
UAKGERNU_CDS_0024	NC_005880.2	6775	7012	80
UAKGERNU_CDS_0025	NC_005880.2	7091	7562	225
UAKGERNU_CDS_0026	NC_005880.2	7620	7794	128
UAKGERNU_CDS_0027	NC_005880.2	7793	8063	155
UAKGERNU_CDS_0028	NC_005880.2	8147	8369	121
UAKGERNU_CDS_0029	NC_005880.2	8442	8544	93
UAKGERNU_CDS_0030	NC_005880.2	8559	8682	527
UAKGERNU_CDS_0031	NC_005880.2	8665	8902	3154
UAKGERNU_CDS_0032	NC_005880.2	8901	9075	2187
UAKGERNU_CDS_0033	NC_005880.2	9081	9336	2118
UAKGERNU_CDS_0034	NC_005880.2	9338	9530	1030
UAKGERNU_CDS_0035	NC_005880.2	9526	10012	1458
UAKGERNU_CDS_0036	NC_005880.2	10004	10436	1990
UAKGERNU_CDS_0037	NC_005880.2	10449	10992	1875
UAKGERNU_CDS_0038	NC_005880.2	11003	11492	2790
UAKGERNU_CDS_0039	NC_005880.2	11504	11903	1301
UAKGERNU_CDS_0040	NC_005880.2	11899	12607	2234
UAKGERNU_CDS_0041	NC_005880.2	12706	13261	4621
UAKGERNU_CDS_0042	NC_005880.2	13276	13594	2023
UAKGERNU_CDS_0043	NC_005880.2	13662	13776	28417
UAKGERNU_CDS_0044	NC_005880.2	13784	13961	24832
UAKGERNU_CDS_0045	NC_005880.2	13957	14086	16657
UAKGERNU_CDS_0046	NC_005880.2	14163	14364	12170
UAKGERNU_CDS_0047	NC_005880.2	14363	14465	17147
UAKGERNU_CDS_0048	NC_005880.2	14579	15128	2770
UAKGERNU_CDS_0049	NC_005880.2	15131	15350	1177
UAKGERNU_CDS_0050	NC_005880.2	15350	15545	1549
UAKGERNU_CDS_0051	NC_005880.2	15534	16272	2783
UAKGERNU_CDS_0052	NC_005880.2	16334	16439	450
UAKGERNU_CDS_0053	NC_005880.2	16450	16690	718
UAKGERNU_CDS_0054	NC_005880.2	16691	17081	1017
UAKGERNU_CDS_0055	NC_005880.2	17179	17353	1244
UAKGERNU_CDS_0056	NC_005880.2	17393	17876	874
UAKGERNU_CDS_0057	NC_005880.2	17925	18468	9661
