#Feature	Chrom	Start	End	Counts
UAKGERNU_CDS_0001	NC_005880.2	84	180	26
UAKGERNU_CDS_0002	NC_005880.2	273	381	6
UAKGERNU_CDS_0003	NC_005880.2	485	785	138
UAKGERNU_CDS_0004	NC_005880.2	800	986	128
UAKGERNU_CDS_0005	NC_005880.2	1092	1380	158
UAKGERNU_CDS_0006	NC_005880.2	1379	1706	260
UAKGERNU_CDS_0007	NC_005880.2	1721	2015	206
UAKGERNU_CDS_0008	NC_005880.2	2018	2276	226
UAKGERNU_CDS_0009	NC_005880.2	2353	2593	240
UAKGERNU_CDS_0010	NC_005880.2	2603	2951	312
UAKGERNU_CDS_0011	NC_005880.2	3161	3500	1044
UAKGERNU_CDS_0012	NC_005880.2	3478	3637	102
UAKGERNU_CDS_0013	NC_005880.2	3650	3764	0
UAKGERNU_CDS_0014	NC_005880.2	3810	4119	78
UAKGERNU_CDS_0015	NC_005880.2	4137	4272	25
UAKGERNU_CDS_0016	NC_005880.2	4324	4612	136
UAKGERNU_CDS_0017	NC_005880.2	4661	4853	18
UAKGERNU_CDS_0018	NC_005880.2	4839	4935	4
UAKGERNU_CDS_0019	NC_005880.2	4961	5102	22
UAKGERNU_CDS_0020	NC_005880.2	5169	5658	1122
UAKGERNU_CDS_0021	NC_005880.2	5816	5984	15
UAKGERNU_CDS_0022	NC_005880.2	6053	6185	72
UAKGERNU_CDS_0023	NC_005880.2	6352	6676	467
UAKGERNU_CDS_0024	NC_005880.2	6775	7012	179
UAKGERNU_CDS_0025	NC_005880.2	7091	7562	446
UAKGERNU_CDS_0026	NC_005880.2	7620	7794	281
UAKGERNU_CDS_0027	NC_005880.2	7793	8063	241
UAKGERNU_CDS_0028	NC_005880.2	8147	8369	294
UAKGERNU_CDS_0029	NC_005880.2	8442	8544	22
UAKGERNU_CDS_0030	NC_005880.2	8559	8682	143
UAKGERNU_CDS_0031	NC_005880.2	8665	8902	1016
UAKGERNU_CDS_0032	NC_005880.2	8901	9075	861
UAKGERNU_CDS_0033	NC_005880.2	9081	9336	857
UAKGERNU_CDS_0034	NC_005880.2	9338	9530	558
UAKGERNU_CDS_0035	NC_005880.2	9526	10012	949
UAKGERNU_CDS_0036	NC_005880.2	10004	10436	1702
UAKGERNU_CDS_0037	NC_005880.2	10449	10992	1573
UAKGERNU_CDS_0038	NC_005880.2	11003	11492	2832
UAKGERNU_CDS_0039	NC_005880.2	11504	11903	1592
UAKGERNU_CDS_0040	NC_005880.2	11899	12607	3297
UAKGERNU_CDS_0041	NC_005880.2	12706	13261	478
UAKGERNU_CDS_0042	NC_005880.2	13276	13594	207
UAKGERNU_CDS_0043	NC_005880.2	13662	13776	3247
UAKGERNU_CDS_0044	NC_005880.2	13784	13961	3574
UAKGERNU_CDS_0045	NC_005880.2	13957	14086	2611
UAKGERNU_CDS_0046	NC_005880.2	14163	14364	1747
UAKGERNU_CDS_0047	NC_005880.2	14363	14465	1753
UAKGERNU_CDS_0048	NC_005880.2	14579	15128	2341
UAKGERNU_CDS_0049	NC_005880.2	15131	15350	1302
UAKGERNU_CDS_0050	NC_005880.2	15350	15545	1850
UAKGERNU_CDS_0051	NC_005880.2	15534	16272	3770
UAKGERNU_CDS_0052	NC_005880.2	16334	16439	744
UAKGERNU_CDS_0053	NC_005880.2	16450	16690	1528
UAKGERNU_CDS_0054	NC_005880.2	16691	17081	1881
